UserID,"""firstName""","""mInitial""","""lastName""","""userName""","""password""",privilegeLevel,lastLogin,passwordFlag,numLoginAttempts,enabled
,"""Lidia""","""Y""","""Juarez""","""ljuarez2@una.edu""","""Roger108!""",,,,,
,"""Bethany""","""T""","""Turner""","""bturner3@una.edu""","""!Fleetwood79""",,,,,
,"""Adam""","""W""","""Sisco""","""asisco@una.edu""","""weather17!!""",,,,,
,"""Lauren""","""M""","""Baeder""","""lbaeder6@una.edu""","""luvcats2017!""",,,,,
,"""Tyler""","""A""","""Goodwin""","""tgoodwin2@una.du""","""passwErd2!3""",,,,,
,"""Trey""","""H""","""Lovette""","""tlovette@una.edu""","""deadPool6??""",,,,,
,"""Charles""","""J""","""Brooks""","""cbrooks5@una.edu""","""Hello16?!""",,,,,
,"""Keith""","""R""","""Kens""","""kkens@una.edu""","""Opet4eva5?""",,,,,
,"""Andrew""","""I""","""Lovelace""","""alovelace@una.edu""","""frenchFries4Lyfe!""",,,,,
,"""Eddie""","""K""","""Mack""","""emack2@una.edu""","""iceCreamIsLife2!""",,,,,
,"""Brady""","""H""","""Henson""","""bhenson@una.edu""","""legoBatman123?""",,,,,
,"""Derrick""","""B""","""Williams""","""dwilliams3@una.edu""","""morphinTime1997!""",,,,,
,"""Erin""","""V""","""Russel""","""erussel1@una.edu""","""Mumford2026?""",,,,,
,"""Penelope""","""S""","""Miller""","""pmiller3@una.edu""","""wafffleS11?""",,,,,
,"""John""","""F""","""Goode""","""jgoode@una.edu""","""bonBon2?""",,,,,
,"""Alex""","""C""","""Thompson""","""athompson2@una.edu""","""ironMan66!""",,,,,
,"""Mark""","""G""","""Harrel""","""mharrel@una.edu""","""wolverinE7!""",,,,,
,"""Marcus""","""E""","""Ivey""","""mivey@una.edu""","""antMan4!""",,,,,
,"""Brice""","""C""","""Conrad""","""bconrad@una.edu""","""greenHulk5?""",,,,,
,"""Chloe""","""J""","""Martin""","""cmartin2@una.edu""","""avengerSS68!""",,,,,
,"""Annie""","""F""","""Turner""","""aturner1@una.edu""","""mufasa4Ever!""",,,,,
,"""Thomas""","""W""","""Jefferson""","""tjefferson1@una.edu""","""Hamiltonisdabest11!""",,,,,
,"""Alexander""","""J""","""Hamilton""","""ahamilton@una.edu""","""elizaAndMe4eva""",,,,,
,"""Phillip""","""G""","""Hamilton""","""phamilton66@una.edu""","""unDoTrios66!""",,,,,
